"RT" "z_score" "Go1" "ACC" "Trial_type" "V1" "V2" "V3" "V4" "V5" "Smoothed_VTC"
"77" 0.71825 1.04426496779551 2 1 2 0 0 48 1 0 "Out_zone"
"78" 0.71447 1.12176814920807 1 1 1 1 1 48 1 0 "Out_zone"
"79" 0.79783 0.587402539297557 1 1 2 1 1 48 2 0 "Out_zone"
"80" 0.799925 0.630357344868805 1 0 1 0 1 48 2 0 "Out_zone"
"81" 0.80202 0.673312150440053 1 1 2 1 1 48 2 0 "Out_zone"
"82" 0.80202 0.673312150440053 1 1 1 1 1 48 2 0 "Out_zone"
"83" 0.80226 0.678232987355137 1 1 2 1 1 48 1 0 "Out_zone"
"84" 0.80248 0.682743754527296 1 1 1 1 1 48 1 1 "Out_zone"
"85" 0.80242 0.681513545298527 1 1 2 1 1 48 2 0 "Out_zone"
"86" 0.8025 0.68315382427022 1 1 1 1 1 48 2 1 "Out_zone"
"87" 0.79862 0.603600294143039 1 1 2 1 1 48 1 0 "Out_zone"
"88" 0.79866 0.604420433628887 1 1 1 1 1 48 1 0 "Out_zone"
"89" 0.79847 0.600524771071112 1 1 2 1 1 48 1 0 "Out_zone"
"90" 0.80249 0.682948789398759 1 1 1 1 1 48 1 1 "Out_zone"
"91" 0.76149 0.157694183594654 1 1 2 1 1 48 1 0 "Out_zone"
"92" 0.79006 0.428090444171731 1 1 1 1 1 48 2 0 "Out_zone"
"93" 0.79866 0.604420433628887 1 1 2 1 1 48 2 0 "Out_zone"
"94" 0.79954 0.622463502317526 1 1 1 1 1 48 1 0 "Out_zone"
"95" 0.7994375 0.620361894885042 2 1 2 0 0 48 1 0 "Out_zone"
"96" 0.799335 0.618260287452559 2 1 1 0 0 48 2 0 "Out_zone"
"97" 0.7992325 0.616158680020075 1 0 2 0 1 48 1 0 "Out_zone"
"98" 0.79913 0.614057072587591 1 1 1 1 1 48 2 0 "Out_zone"
"99" 0.79936 0.618772874631212 1 1 2 1 1 48 2 0 "Out_zone"
"100" 0.79928 0.617132595659518 1 1 1 1 1 48 2 0 "Out_zone"
"101" 0.799695 0.625641542825184 2 1 2 0 0 48 1 0 "Out_zone"
"102" 0.80011 0.634150489990848 1 1 1 1 1 48 2 0 "Out_zone"
"103" 0.79964 0.624513851032144 1 1 2 1 1 48 2 0 "Out_zone"
"104" 0.80043 0.640711605877626 1 1 1 1 1 48 1 0 "Out_zone"
"105" 0.8 0.63189510640477 1 1 2 1 1 48 1 0 "Out_zone"
